course_id,course_title,url,is_paid,price,num_subscribers,num_reviews,num_lectures,level,content_duration,published_timestamp,subject,days_published
818786,Drum Lessons For Beginners,https://www.udemy.com/the-music-coach-online-drum-lesson-program/,TRUE,95,14,1,34,Beginner Level,2.5,13/4/2016,Musical Instruments,1479
741388,Piano With Willie: Jazz Kids - Vol 3,https://www.udemy.com/piano-with-willie-jazz-kids-vol-3/,TRUE,40,16,1,29,Beginner Level,3,13/4/2016,Musical Instruments,1479
629704,Quick Piano Lessons - Tutorials for Drake's Greatest Hits,https://www.udemy.com/quick-piano-lessons-tutorials-for-drakes-greatest-hits/,TRUE,35,19,1,4,All Levels,0.55,4/10/2015,Musical Instruments,1671
839032,"Bluegrass Guitar Essentials: Webisodes 13, 14, & 15",https://www.udemy.com/bluegrass-guitar-essentials-webisodes-13-14-15/,TRUE,30,14,1,13,Intermediate Level,1.5,15/12/2016,Musical Instruments,1233
23683,Guitar - Rock - Beginner with Marc Seal,https://www.udemy.com/guitar-rock-beginner-with-marc-seal/,TRUE,20,40,1,27,All Levels,1,31/8/2012,Musical Instruments,2800
912254,"Oboe Solos: Learn to Perform Three Fun, Unique Pieces!",https://www.udemy.com/oboe-solos/,TRUE,50,41,0,43,All Levels,2,28/7/2016,Musical Instruments,1373
839030,Bluegrass Guitar Essentials: Webisodes 11 & 12,https://www.udemy.com/bluegrass-guitar-essentials-webisodes-11-12/,TRUE,30,9,1,24,All Levels,2,22/10/2016,Musical Instruments,1287
619610,Advanced Horn Studies - Learn to Master the French Horn!​,https://www.udemy.com/advanced-french-horn/,TRUE,50,46,0,91,All Levels,7,23/9/2015,Musical Instruments,1682
106358,Learn To Play Guitar Complete Beginners Quick Start,https://www.udemy.com/learn-to-play-guitar-for-free-quick-start-guitar-course/,TRUE,20,75,0,11,Beginner Level,1,16/10/2013,Musical Instruments,2389
742300,Piano With Willie: Jazz Kids - Vol 4,https://www.udemy.com/piano-with-willie-jazz-kids-vol-4/,TRUE,40,19,0,30,Intermediate Level,3.5,13/4/2016,Musical Instruments,1479
636846,Instant Harmonica - play the old Popeye Spinach song now !,https://www.udemy.com/instant-harmonica-play-the-old-popeye-spinach-song-now/,TRUE,20,22,0,10,Beginner Level,0.6,19/10/2015,Musical Instruments,1656
741316,Piano With Willie: Jazz Kids - Vol 2,https://www.udemy.com/piano-with-willie-jazz-kids-vol-2/,TRUE,40,17,0,38,Beginner Level,3,13/4/2016,Musical Instruments,1479
681390,Practice guitar with no previous experience and become a pro,https://www.udemy.com/practice-guitar-with-no-previous-experience-and-become-a-pro/,TRUE,30,26,0,14,Beginner Level,1,13/1/2017,Musical Instruments,1204
1195742,The Music Coach Online Spirit Drum Course,https://www.udemy.com/the-music-coach-online-spirit-drum-course-i/,TRUE,95,2,0,86,Beginner Level,5.5,4/5/2017,Musical Instruments,1093
794398,Make Electronic Music with the iPad,https://www.udemy.com/playspacemusic/,TRUE,20,13,0,69,Beginner Level,1.5,1/4/2016,Musical Instruments,1491
1232728,Learn Loreena McKennitt Songs-Quicklessons Piano Course,https://www.udemy.com/learn-loreena-mckennitt-songs-quicklessons-piano-course/,TRUE,20,1,0,6,All Levels,0.566666667,29/5/2017,Musical Instruments,1068
721202,Guitar 201: Breakthroughs,https://www.udemy.com/guitar-201-breakthroughs/,TRUE,20,14,1,49,Beginner Level,2.5,22/1/2016,Musical Instruments,1561
1058262,Major Scales and Modes for Chromatic Harmonica,https://www.udemy.com/the-major-scales-for-chromatic-harmonica/,TRUE,20,6,1,14,All Levels,1.5,10/4/2017,Musical Instruments,1117
132878,Play Guitar with Rhythm - 5 Easy Lessons,https://www.udemy.com/play-guitar-with-rhythm-5-easy-lessons/,TRUE,20,31,0,10,Beginner Level,1,12/12/2013,Musical Instruments,2332
944804,Coaching Bundle: Guitar for Music Educators: Part 1,https://www.udemy.com/coaching-bundle-guitar-for-music-educators-part-1/,TRUE,135,1,1,5,All Levels,0.5,1/9/2016,Musical Instruments,1338
939636,Coaching Bundle: Guitar for Music Educators: Part 2,https://www.udemy.com/coaching-bundle-guitar-for-music-educators-part-2/,TRUE,135,1,1,6,All Levels,0.5,2/9/2016,Musical Instruments,1337
730702,Ukulele 3:  Intermediate,https://www.udemy.com/ukulele-3-songs-to-learn-in-7-days/,TRUE,25,1,0,11,Intermediate Level,0.65,24/5/2017,Musical Instruments,1073
993892,"Beginners Guitar Course - 'Try it and love it method""",https://www.udemy.com/beginners-guitar-course-try-it-and-love-it-method/,TRUE,25,0,0,16,Beginner Level,2,31/10/2016,Musical Instruments,1278
